Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-10,16:55:51.780,-51,-37,100,12,1,7,10,-38,100,13,0.0,38.424441 14.076897,0.2,32.06,0,15,49.8,0.0,0,100,0.0,0.02,-1.04,!ERR,0,2,-702,3,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1156,1501,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:51.800,-51,-37,100,12,1,7,10,-38,100,13,0.0,38.424469 14.076886,0.2,32.06,0,15,49.7,2.5,0,100,0.0,0.02,-1.04,!ERR,0,2,-685,3,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1165,1501,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:52.000,-51,-37,100,12,1,7,10,-38,100,13,0.0,38.424414 14.076885,0.2,32.06,0,15,49.7,2.5,0,100,0.0,0.02,-1.04,!ERR,0,2,-665,0,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1174,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:52.200,-51,-37,100,12,1,7,10,-33,100,13,0.0,38.424489 14.076836,0.2,32.06,0,15,49.7,2.5,0,100,0.0,0.02,-1.04,!ERR,2,0,-659,-1,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1177,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:52.400,-49,-40,100,12,1,7,10,-35,100,14,0.0,38.424457 14.076811,0.2,32.06,0,15,49.7,2.5,0,100,0.0,0.02,-1.04,!ERR,1,0,-666,0,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1174,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:52.600,-49,-40,100,12,1,7,10,-43,100,12,0.0,38.424413 14.076865,0.2,32.06,0,15,49.7,2.5,0,100,0.0,0.02,-1.04,!ERR,0,-2,-592,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1210,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:52.800,-51,-43,96,12,1,7,10,-43,100,12,0.0,38.424486 14.076902,0.2,32.06,0,15,49.7,2.5,0,100,0.0,0.02,-1.04,!ERR,-1,1,-567,-2,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1223,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:53.000,-51,-43,96,12,1,7,10,-42,100,13,0.0,38.424420 14.076854,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,!ERR,1,1,-514,0,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1249,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:53.200,-51,-43,96,12,1,7,10,-42,100,13,0.0,38.424430 14.076820,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,!ERR,2,1,-460,-2,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1275,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:53.400,-50,-43,100,12,1,7,10,-41,100,13,0.0,38.424473 14.076846,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,!ERR,0,0,-383,4,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1313,1501,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
