Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-20,14:35:20.950,-49,-52,100,12,0,7,10,-43,100,12,0.0,38.486496 14.063644,0.0,152.7,0,17,49.1,0.0,562,86,-0.02,0.0,-1.19,OK,2,-1,-697,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1159,1500,1500,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:35:20.950,-49,-52,100,12,0,7,10,-46,100,12,0.0,38.486586 14.063612,0.0,152.7,0,17,49.1,0.0,562,86,-0.02,0.0,-1.19,OK,2,-1,-697,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1159,1500,1500,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:35:21.130,-49,-52,100,12,0,7,10,-46,100,13,0.0,38.486548 14.063612,0.0,152.7,0,17,49.1,0.0,562,86,-0.02,0.0,-1.19,OK,3,54,-581,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1215,1500,1526,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:35:21.330,-49,-52,100,12,0,7,10,-46,100,13,0.0,38.486546 14.063631,0.0,152.7,0,17,49.1,0.0,562,86,-0.02,0.0,-1.19,OK,1,106,-486,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1262,1501,1552,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:35:21.530,-49,-52,100,12,0,7,10,-43,100,12,0.0,38.486568 14.063583,0.0,152.7,0,17,49.1,0.0,562,86,-0.02,0.0,-1.19,OK,1,8,-383,2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1312,1501,1504,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:35:21.730,-49,-53,100,12,0,7,10,-46,100,13,0.0,38.486581 14.063628,0.0,152.7,0,17,49.1,0.0,562,86,-0.02,0.0,-1.19,OK,1,5,-334,2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1337,1501,1502,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:35:21.930,-49,-53,100,12,0,7,10,-40,100,13,0.0,38.486521 14.063598,0.0,152.7,0,17,49.1,0.0,562,86,-0.02,0.0,-1.19,OK,2,202,-399,35,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1305,1517,1598,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:35:22.130,-44,-51,100,12,0,7,10,-43,100,13,0.0,38.486569 14.063595,0.0,152.7,0,17,49.1,0.0,562,86,-0.02,0.0,-1.19,OK,1,177,-458,26,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1276,1512,1586,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:35:22.330,-44,-51,100,12,0,7,10,-46,100,12,0.0,38.486506 14.063620,0.0,110.5,0,17,49.1,0.0,562,86,-0.02,0.0,-1.19,OK,1,77,-422,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1293,1501,1537,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:35:22.530,-44,-51,100,12,0,7,10,-46,100,12,0.0,38.486537 14.063618,0.0,110.5,0,17,49.1,0.0,562,86,-0.02,0.0,-1.19,OK,-41,54,-328,7,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1341,1503,1528,1480,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
