Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-24,17:35:34.020,-44,-49,100,12,0,7,10,-42,100,13,41.316853 14.222788,0.0,68.6,0,27,50.5,0.0,6,99,0.0,0.01,1.24,ACRO,0.0,1,5,-629,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1192,1500,1502,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:35:34.020,-44,-49,100,12,0,7,10,-42,100,13,41.316881 14.222724,0.0,68.6,0,27,50.5,0.0,6,99,0.0,0.01,1.24,ACRO,0.0,0,3,-626,-2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1193,1499,1501,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:35:34.200,-43,-49,100,12,0,7,10,-42,100,13,41.316913 14.222718,0.0,68.6,0,27,50.5,0.0,6,99,0.0,0.01,1.24,ACRO,0.0,5,90,-534,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1238,1500,1544,1502,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:35:34.400,-43,-49,100,12,0,7,10,-41,100,12,41.316855 14.222723,0.0,68.6,0,27,50.5,0.0,6,99,0.0,0.01,1.24,ACRO,0.0,38,86,-480,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1265,1501,1542,1518,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:35:34.600,-43,-49,100,12,0,7,10,-41,100,12,41.316912 14.222719,0.0,68.6,0,27,50.5,0.0,6,99,0.0,0.01,1.24,ACRO,0.0,127,29,-389,24,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1310,1511,1514,1562,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:35:34.800,-43,-48,100,12,0,7,10,-41,100,12,41.316900 14.222708,0.0,68.6,0,27,50.5,0.0,6,99,0.0,0.01,1.24,ACRO,0.0,129,94,-389,49,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1310,1524,1546,1563,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:35:35.000,-43,-48,100,12,0,7,10,-44,100,12,41.316852 14.222768,0.0,68.6,0,27,50.5,0.0,6,99,0.0,0.01,1.24,ACRO,0.0,262,151,-396,78,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1306,1538,1573,1628,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:35:35.200,-46,-46,100,12,1,7,10,-40,100,13,41.316921 14.222770,0.0,68.6,0,27,50.5,0.0,6,99,0.0,0.01,1.24,ACRO,0.0,314,99,-403,111,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1303,1554,1548,1653,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:35:35.400,-46,-46,100,12,1,7,10,-42,100,13,41.316836 14.222771,0.0,68.6,0,27,50.5,0.0,6,99,0.0,0.01,1.24,ACRO,0.0,363,33,-510,161,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1250,1578,1516,1677,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:35:35.600,-43,-50,100,12,0,7,10,-43,100,13,41.316882 14.222748,0.0,68.6,0,27,50.5,0.0,6,99,0.0,0.01,1.24,ACRO,0.0,411,38,-490,243,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1260,1618,1518,1700,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
