Date,Time,Hdg(°),GSpd(kmh),Sats,RxBt(V),Curr(A),Capa(mAh),RSSI(dB),RQly(%),RSNR(dB),TPWR(mW),FRat,TLat,RFMD,VFrq,VPwr,VChn,VBan,GPS,Alt(m),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-05-09,15:09:26.270,0.0,0.0,-27,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,1,2,-587,-1,1024,-1005,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1213,1500,1500,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:26.300,0.0,0.0,-33,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,2,0,-585,0,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1214,1500,1499,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:26.500,0.0,0.0,-40,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,0,1,-538,1,1024,-1004,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1237,1500,1499,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:26.700,0.0,0.0,-42,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,0,1,-448,-1,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1281,1500,1499,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:26.900,0.0,0.0,-43,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,0,-1,-345,2,1024,-1004,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1331,1500,1498,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:27.100,0.0,0.0,-43,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,0,-1,-286,1,1024,-1004,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1360,1500,1498,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:27.300,0.0,0.0,-43,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,1,6,-169,-1,1024,-1004,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1419,1499,1502,1501,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:27.500,0.0,0.0,-44,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,22,257,275,-43,1024,-1007,-1024,0,0,0,0,26,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1634,1480,1623,1510,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:27.700,0.0,0.0,-43,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,28,315,-152,2,1024,-1003,-1024,0,0,0,0,26,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1426,1500,1651,1513,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:27.900,0.0,0.0,-46,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,3,237,6,0,1024,-1004,-1024,0,0,0,0,26,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1502,1500,1612,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
